image,discovery,scientist,year,field,excerpt
,The Curies Name Radioactivity,Pierre and Marie Curie,1898,nuclear & particle,"Studying the mysterious rays, the Curies found that thorium emitted them too, and coined the word radioactivity for the property. Painstakingly processing tons of pitchblende, they isolated two entirely new elements far more intensely active than uranium. They named one polonium in honor of Marie's native Poland, and the other radium for its fierce radiant power."
,Gamma Rays Detected,Paul Villard,1899,nuclear & particle,"The radioactive frontier expanded rapidly: Debierne pulled yet another element, actinium, from pitchblende, while Becquerel concluded that beta particles were simply electrons traveling at very high energies. Meanwhile Paul Villard detected a third kind of emission that magnets could not bend, marking it as uncharged.\n\nThese penetrating rays outstripped both alpha and beta particles, and Villard named them gamma rays, correctly guessing they were electromagnetic radiation of even shorter wavelength than X-rays."
,Planck's Energy Quanta,Max Planck,1900,quantum,"Max Planck cracked the black body problem by working backward from the experimental data, and found the numbers only fit if atoms exchanged energy in discrete bundles rather than continuously. His formula introduced a new fundamental constant, h, soon recognized as one of nature's basic quantities alongside the speed of light. Ironically, Planck saw his quanta as a mathematical trick, not the revolution they truly were."
,Frequency Threshold of Photoemission,Philipp Lenard,1902,quantum,"Investigating the photoelectric effect, Philipp Lenard discovered a baffling rule: whether electrons were ejected from a metal depended on the light's frequency, not its brightness. Light above a certain frequency freed electrons instantly no matter how dim, while light below that threshold did nothing regardless of intensity. Classical wave theory, which tied a wave's energy to its intensity, simply could not account for this behavior."
,Radioactivity Solves the Age of the Earth,Ernest Rutherford,1903,nuclear & particle,"Rutherford recognized that the bitter dispute over Earth's age could be settled if the planet's interior held traces of radioactive elements. Because rock conducts heat so poorly, even a modest radioactive heat source could keep the Earth geologically alive far longer than Kelvin's inert-rock calculations allowed.\n\nWithin a few years, the long half-lives of the isotopes being discovered pointed to an Earth billions of years old rather than mere millions. Modern measurements confirm a value of roughly 4.5 billion years."
,Einstein Explains the Photoelectric Effect,Albert Einstein,1905,quantum,"Working as a patent clerk, Albert Einstein proposed that light delivers its energy in discrete bundles, later called photons, each carrying an energy set by Planck's relation E = hf. This neatly explained why only light above a certain frequency could dislodge electrons, since each bundle had to be large enough to free one. He predicted a precise equation for the ejected electrons' energy, a bold forecast that would take years of difficult experiment to confirm."
,Special Relativity,Albert Einstein,1905,relativity,"Working obscurely as a patent clerk in Bern, Albert Einstein published On the Electrodynamics of Moving Bodies, resolving the deep conflict between Maxwell's electromagnetism and Newtonian mechanics. He took the radical step of accepting that the speed of light in a vacuum is the same for every observer, and showed that this single postulate forces space and time themselves to stretch and contract, yielding length contraction and time dilation.\n\nThe theory demoted Newtonian physics to an excellent approximation valid only at everyday speeds, while revealing a universe in which measurements of distance and duration depend on the observer's motion. Theoretical physicists embraced it swiftly, drawn by the elegant sense it made of experiments that ether theories could not explain."
,Alpha Particles Are Helium Nuclei,Ernest Rutherford,1906,nuclear & particle,"Rutherford demonstrated that alpha particles brought to rest inside a container turned out to be helium, revealing that an alpha particle is simply a fast-moving helium nucleus of two protons and two neutrons. Once slowed and paired with two electrons, it becomes ordinary helium gas. The blistering speeds of these particles hinted at an extraordinarily energetic process inside radioactive elements, one that Einstein had already explained in 1905 with E = mc squared."
,The Gold Foil Experiment and the Nucleus,Geiger and Marsden,1909,atomic,"Working under Rutherford in Manchester, Geiger and Marsden fired alpha particles at a thin sheet of gold foil. Most sailed straight through as if the foil were barely there, but a rare few were deflected sharply, and a handful bounced almost directly back as though striking something immovable.\n\nThis startling result led Rutherford to his solar-system picture of the atom: mostly empty space surrounding a tiny, astonishingly dense central nucleus."
,Millikan's Oil Drop Experiment,Robert Millikan,1911,electricity & magnetism,"Robert Millikan sprayed fine oil droplets into a chamber and balanced individual charged droplets against gravity using an adjustable electric field, watching them through a microscope. After painstaking years he measured the electron's charge to within one percent and showed that all charges came in whole-number multiples of that value. This gave powerful evidence that the electron's charge is the smallest, most fundamental unit of electric charge in nature."
,The Concept of Isotopes,Frederick Soddy,1913,atomic,"As radioactivity research matured, it became clear that a single element could come in several varieties, some radioactive and some not. Soddy and Richards showed that the distinction lay in the weight of the atomic nucleus, with different-weight versions of the same element existing side by side. They named these variants isotopes, from the Greek for same place, since they occupy the same slot on the periodic table."
https://upload.wikimedia.org/wikipedia/commons/9/93/Bohr_atom_model.svg,The Bohr Atomic Model,Niels Bohr,1913,quantum,"To rescue Rutherford's atom from collapse, Niels Bohr proposed that electrons can only occupy certain fixed energy levels and can absorb or release energy only in quantized jumps between them. This not only stabilized the atom but also explained spectral lines, since each jump emits or absorbs a photon of a specific frequency. Bohr even derived Balmer's formula from first principles, though his model could not capture finer spectral details or extend beyond hydrogen."
https://upload.wikimedia.org/wikipedia/commons/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg,General Relativity,Albert Einstein,1915,relativity,"A decade after special relativity, Einstein reimagined gravity not as a force but as the curvature of spacetime produced by mass and energy, with planets following the straightest possible paths through a warped geometry. The theory predicted that starlight would bend as it grazed the Sun, a prediction dramatically confirmed during the solar eclipse of 1919 and one that made Einstein world-famous overnight."
,Mass Defect as the Source of Nuclear Energy,William Harkins,1915,nuclear & particle,"Harkins noticed that a helium atom weighs slightly less than four times the mass of a single proton. He argued that the missing mass had been transformed into energy according to Einstein's E = mc squared, and that this conversion was precisely the origin of the immense energy locked inside atomic nuclei."
,Electron Shells and Chemistry,Gilbert Lewis,1916,atomic,The American chemist Gilbert Lewis proposed that electrons arrange themselves into quantum shells surrounding the atomic nucleus. He suggested this shell structure is the fundamental basis for how atoms bond and react chemically. The idea proved correct and became a cornerstone linking quantum physics to chemistry.
https://upload.wikimedia.org/wikipedia/commons/5/57/Li6-D_Reaction.svg,The First Artificial Nuclear Reaction,Ernest Rutherford,1919,nuclear & particle,"Still bombarding matter with alpha particles, Rutherford managed to make a helium nucleus react with a nitrogen nucleus, producing a proton and an oxygen nucleus. It was the first nuclear reaction ever deliberately engineered by human hands, and it made Rutherford the first person in history to transform one element into another."
https://upload.wikimedia.org/wikipedia/commons/d/d2/Broglie_Big.jpg,De Broglie's Matter Waves,Louis de Broglie,1923,quantum,"Louis de Broglie argued that if light can behave like a particle, then particles of matter should likewise behave like waves, with a wavelength set by Planck's constant divided by momentum. Because that constant is so tiny, only very light particles would show noticeable wave behavior, leading him to single out electrons as the best candidates. He boldly predicted that electrons could be diffracted just like X-rays, a claim soon put to the test."
,Heisenberg's Matrix Mechanics,Werner Heisenberg,1925,quantum,"At just twenty-four, Werner Heisenberg rejected the old planetary picture of tilted and elliptical electron orbits as useless for understanding spectra. In its place he built matrix mechanics, manipulating abstract arrays of numbers representing energy and momentum without any visual model of the electron's motion. This abstract approach marked the true birth of modern quantum mechanics."
,Schrodinger's Wave Equation,Erwin Schrodinger,1926,quantum,"Almost at the same time as Heisenberg, Erwin Schrodinger developed a rival formulation in which the electron is treated as a spread-out wave that collapses to a point only when it interacts with matter. His wave equation implied that an electron's exact position is nearly meaningless, and that one can only calculate the relative probability of finding it in one place versus another. Within months it was shown that his wave mechanics and Heisenberg's matrix mechanics were mathematically identical."
,Heisenberg's Uncertainty Principle,Werner Heisenberg,1927,quantum,"Heisenberg announced his Uncertainty Principle, which holds that a particle's position and momentum cannot both be known with perfect precision at the same time. This is not a limitation of instruments but a fundamental feature of nature at the quantum scale, holding even for a hypothetically flawless measuring device. The same trade-off applies to energy and time, embedding a basic fuzziness into the fabric of physics."
,Davisson-Germer Electron Diffraction,Clinton Davisson and Lester Germer,1927,quantum,"While studying nickel oxidation, Davisson and Germer accidentally turned their sample into a single crystal after a mishap melted and recrystallized it, and they noticed electrons now scattered into sharp beams. Unaware of de Broglie's or Schrodinger's work, they nearly published a trivial explanation until European colleagues recognized what they had actually seen. The electrons were diffracting off the crystal's atoms and interfering like waves, providing direct experimental proof of the wave nature of matter."
https://upload.wikimedia.org/wikipedia/commons/b/bf/Synthetic_Production_of_Penicillin_TR1468.jpg,Penicillin,Alexander Fleming,1928,medicine,"Returning to a cluttered laboratory, Fleming noticed that a stray mold had killed the bacteria on one of his culture plates, and identified the substance it released as a powerful antibiotic. Though he struggled to purify it, the discovery of penicillin opened the age of antibiotics, saving countless lives once others learned to mass-produce it during the Second World War."
,Dirac Predicts Antimatter,Paul Dirac,1930,quantum,"In his effort to unite relativity with quantum mechanics, Dirac produced the equation that now bears his name. He noticed that it demanded negative-energy states for particles like the electron, and from this bold mathematical consequence he predicted the existence of antimatter years before anyone observed it."
,The Neutrino Proposed,Wolfgang Pauli,1931,nuclear & particle,"For over a decade, physicists had been baffled that electrons from beta decay emerged with a spread of energies rather than a single fixed value, suggesting energy was vanishing in some random way. Some even wondered whether conservation of energy itself was breaking down.\n\nPauli and Fermi resolved the crisis by proposing that beta decay releases a second, nearly undetectable neutral particle that carries off the missing energy. Fermi named it the neutrino, Italian for little neutral one."
,Chadwick Detects the Neutron,James Chadwick,1932,nuclear & particle,"By bombarding beryllium with alpha particles, Chadwick knocked loose a stream of neutral particles and became the first physicist to detect the neutron directly. The discovery completed the basic picture of the nucleus as a bundle of protons and neutrons and gave physicists a powerful new probe for future experiments."
,Anderson Discovers the Positron,Carl Anderson,1932,nuclear & particle,"While photographing cosmic rays, Anderson spotted tracks that looked exactly like those of electrons but curved the wrong way in his magnetic field. He realized he was seeing a positively charged electron, the antielectron that Dirac had predicted, and named it the positron. Because a positron annihilates in a burst of gamma rays the instant it meets an ordinary electron, such particles never survive for long once created."
,Artificial Radioactivity,Frederic Joliot and Irene Curie,1934,nuclear & particle,"The husband-and-wife team, with Irene being the daughter of Marie Curie, bombarded aluminum with alpha particles and produced phosphorus-30. It was the first artificially created radioactive element, showing that humans could manufacture radioactivity rather than merely find it in nature."
,Yukawa and the Strong Force,Hideki Yukawa,1935,nuclear & particle,"Yukawa proposed that the protons and neutrons in a nucleus are bound together by an immensely powerful new force, which he called the strong force. Drawing on Dirac's ideas, he argued that such a force must be carried by quanta that briefly borrow their energy by flickering in and out of existence. From the known sizes of atomic nuclei, he estimated that this exchange particle should carry a mass roughly two hundred times that of the electron."
,How Nuclear Fusion Powers the Sun,Hans Bethe,1938,astronomy,"By this time it was clear that Helmholtz's old 18-million-year Sun was wildly wrong, since both the Sun and Earth draw on nuclear energy. Yet the Sun's output was far too vast to be explained by trace radioactivity as on Earth.\n\nBethe worked out in detail how nuclear fusion could sustain the Sun through the proton-proton chain, in which four hydrogen atoms are ultimately fused into one helium atom, converting about 0.7 percent of the mass into energy."
,The Discovery of Nuclear Fission,Otto Hahn and Lise Meitner,1938,nuclear & particle,"Bombarding uranium with neutrons, Hahn and Meitner found that the enormous nucleus could be split roughly in two by a single neutron. Meitner, who was Jewish, fled to Sweden as Germany annexed Austria and, together with her nephew Otto Frisch, prepared the theoretical explanation of the process.\n\nFrisch carried word of the discovery to Bohr, who spread the news among American physicists in early 1939, setting off a chain of events with world-changing consequences."
,Szilard and the Fission Chain Reaction,Leo Szilard,1939,nuclear & particle,"Having escaped Nazi-occupied Europe for the United States, Szilard grasped that nuclear fission could be harnessed to drive a self-sustaining chain reaction. Fearing what such power would mean in German hands, he launched a campaign urging fellow scientists to voluntarily keep their nuclear research secret, and largely succeeded."
,The Creation of Plutonium,McMillan and Abelson,1940,nuclear & particle,"By bombarding uranium, element 92, with neutrons, McMillan and Abelson produced plutonium, element 93, becoming the first to synthesize a wholly new element beyond uranium. In working to isolate the plutonium, Abelson pioneered methods for separating rare radioactive isotopes from common ones, a first step toward enriched uranium."
,The Manhattan Project Begins,,1941,nuclear & particle,"Prompted in part by a letter signed by Albert Einstein and other leading physicists warning that Nazi Germany might master nuclear fission first, President Franklin D. Roosevelt issued a secret order launching the Manhattan Project. It committed the United States to a covert, all-out effort to build an atomic weapon."
,Muon Time Dilation Detected,,1941,relativity,"Physicists demonstrated relativity's reality by studying muons, unstable particles created when cosmic rays strike the upper atmosphere. A muon's brief lifetime should let it travel only a few hundred meters before decaying, yet these particles routinely reach the ground from altitudes of many kilometers. The explanation is time dilation: moving at nearly the speed of light, the muons age so slowly from our vantage point that they survive the long journey, turning an abstract prediction into a directly observed fact."
,The First Controlled Chain Reaction,Enrico Fermi,1942,nuclear & particle,"Now a refugee from Fascist Italy, Fermi was charged with achieving a controlled chain reaction. Beneath the stands of a University of Chicago football stadium, his team assembled the world's first nuclear reactor from a carefully stacked pile of uranium, graphite, and cadmium.\n\nOn the afternoon of December 2, the pile was allowed to go critical for a few seconds, proving that practical nuclear energy was real. Young physicists stood ready with buckets of cadmium solution in case the reaction ran away."
,The First Atomic Bombs,,1945,nuclear & particle,"Before dawn on July 16, the first atomic bomb was detonated in the New Mexico desert, capping three years of feverish work at secret sites in Hanford, Oak Ridge, and Los Alamos. Fermi famously gauged its power on the spot by tossing scraps of paper into the air and watching how far the blast blew them.\n\nBarely a month later, atomic bombs devastated Hiroshima and Nagasaki, killing well over a hundred thousand people and bringing the swift surrender of Imperial Japan."
https://upload.wikimedia.org/wikipedia/commons/d/db/DNA_orbit_animated_static_thumb.png,The Structure of DNA,Watson & Crick,1953,biology,"Building crucially on Rosalind Franklin's X-ray images, James Watson and Francis Crick deduced that DNA is a double helix, two strands winding around each other and joined by paired bases. The structure instantly suggested how genetic information is copied, as each strand serves as a template for a new partner, and it launched the era of molecular biology."
https://upload.wikimedia.org/wikipedia/commons/2/2e/Earth_to_Sun_-_en.png,Light Speed Independent of Source,,1964,relativity,"A particle accelerator hurled a beam of pions across a laboratory at more than 99.9 percent of the speed of light, and when these particles decayed they emitted gamma rays. Measurements showed the gamma rays traveled at exactly the speed of light, not that speed plus the enormous velocity of their source, exactly as relativity demands and in flat contradiction to Newtonian velocity addition. It was among the most direct confirmations that light speed cannot simply be added to the motion of its emitter."
,Flying Atomic Clocks Confirm Time Dilation,,1971,relativity,"Two extraordinarily precise atomic clocks were synchronized, after which one was flown aboard a jet aircraft around the world while its twin stayed on the ground. When reunited, the traveling clock had fallen measurably behind, having lost a tiny fraction of time exactly as relativity's time dilation predicts. This confirmation showed that the warping of time is not a mere theoretical curiosity but a genuine, measurable feature of the everyday world."
